Time; "Q/Q0"; "Theta"; "p/p0"
0.00020003; 0.12896; -88.875; 0.080627
0.00020003; 0.13718; -87.75; 0.08629
0.00020003; 0.14524; -86.625; 0.092069
0.00020003; 0.15226; -85.5; 0.097712
0.00020003; 0.16193; -84.375; 0.10451
0.00020003; 0.17011; -83.25; 0.11085
0.00020003; 0.1792; -82.125; 0.11774
0.00020003; 0.18913; -81; 0.12502
0.00020003; 0.19785; -79.875; 0.13214
0.00020003; 0.20992; -78.75; 0.14081
0.00020003; 0.22022; -77.625; 0.14864
0.00020003; 0.22952; -76.5; 0.15664
0.00020003; 0.24307; -75.375; 0.16629
0.00020003; 0.25399; -74.25; 0.17495
0.00020003; 0.26465; -73.125; 0.18424
0.00020003; 0.27936; -72; 0.19509
0.00020003; 0.29081; -70.875; 0.20473
0.00020003; 0.30149; -69.75; 0.21481
0.00020003; 0.31675; -68.625; 0.22672
0.00020003; 0.32871; -67.5; 0.23751
0.00020003; 0.34193; -66.375; 0.24952
0.00020003; 0.35604; -65.25; 0.26174
0.00020003; 0.36603; -64.125; 0.27282
0.00020003; 0.38214; -63; 0.28691
0.00020003; 0.39533; -61.875; 0.29986
0.00020003; 0.40632; -60.75; 0.3123
0.00020003; 0.423; -59.625; 0.32713
0.00020003; 0.4339; -58.5; 0.34042
0.00020003; 0.44764; -57.375; 0.35484
0.00020003; 0.46369; -56.25; 0.37031
0.00020003; 0.4729; -55.125; 0.38387
0.00020003; 0.48947; -54; 0.39988
0.00020003; 0.50415; -52.875; 0.41599
0.00020003; 0.513; -51.75; 0.43019
0.00020003; 0.53088; -50.625; 0.44732
0.00020003; 0.54363; -49.5; 0.46381
0.00020003; 0.55427; -48.375; 0.47894
0.00020003; 0.57204; -47.25; 0.4966
0.00020003; 0.5847; -46.125; 0.51978
0.00020003; 0.59625; -45; 0.52948
0.00020003; 0.61167; -43.875; 0.5471
0.00020003; 0.62201; -42.75; 0.56321
0.00020003; 0.63789; -41.625; 0.581
0.00020003; 0.65003; -40.5; 0.59793
0.00020003; 0.663; -39.375; 0.61507
0.00020003; 0.67604; -38.25; 0.63236
0.00020003; 0.6892; -37.125; 0.64914
0.00020003; 0.70394; -36; 0.66636
0.00020003; 0.71568; -34.875; 0.68319
0.00020003; 0.72856; -33.75; 0.70008
0.00020003; 0.74111; -32.625; 0.7165
0.00020003; 0.7547; -31.5; 0.73315
0.00020003; 0.76735; -30.375; 0.74932
0.00020003; 0.78008; -29.25; 0.7653
0.00020003; 0.79289; -28.125; 0.78106
0.00020003; 0.80554; -27; 0.7965
0.00020003; 0.81802; -25.875; 0.8116
0.00020003; 0.83061; -24.75; 0.82628
0.00020003; 0.84345; -23.625; 0.84069
0.00020003; 0.85569; -22.5; 0.85459
0.00020003; 0.86776; -21.375; 0.86799
0.00020003; 0.8799; -20.25; 0.88101
0.00020003; 0.89139; -19.125; 0.8934
0.00020003; 0.90291; -18; 0.9052
0.00020003; 0.91435; -16.875; 0.9165
0.00020003; 0.92469; -15.75; 0.92707
0.00020003; 0.93474; -14.625; 0.93699
0.00020003; 0.94469; -13.5; 0.94626
0.00020003; 0.9538; -12.375; 0.9548
0.00020003; 0.96217; -11.25; 0.9626
0.00020003; 0.97015; -10.125; 0.96969
0.00020003; 0.97745; -9; 0.97603
0.00020003; 0.9839; -7.875; 0.98162
0.00020003; 0.98963; -6.75; 0.98647
0.00020003; 0.99457; -5.625; 0.99058
0.00020003; 0.99852; -4.5; 0.99394
0.00020003; 1.0015; -3.375; 0.99655
0.00020003; 1.0033; -2.25; 0.99841
0.00020003; 1.0042; -1.125; 0.99998
0.00020003; 1.0042; -0; 0.99998
0.00020003; 1.0041; 1.125; 0.99956
0.00020003; 1.0033; 2.25; 0.99841
0.00020003; 1.0015; 3.375; 0.99655
0.00020003; 0.99852; 4.5; 0.99394
0.00020003; 0.99457; 5.625; 0.99058
0.00020003; 0.98962; 6.75; 0.98647
0.00020003; 0.98395; 7.875; 0.98163
0.00020003; 0.97739; 9; 0.97602
0.00020003; 0.97014; 10.125; 0.96969
0.00020003; 0.96231; 11.25; 0.96261
0.00020003; 0.95362; 12.375; 0.95478
0.00020003; 0.94464; 13.5; 0.94626
0.00020003; 0.93507; 14.625; 0.93702
0.00020003; 0.92453; 15.75; 0.92705
0.00020003; 0.91402; 16.875; 0.91647
0.00020003; 0.90333; 18; 0.90527
0.00020003; 0.89144; 19.125; 0.89337
0.00020003; 0.87945; 20.25; 0.88095
0.00020003; 0.86814; 21.375; 0.86808
0.00020003; 0.85595; 22.5; 0.8546
0.00020003; 0.84273; 23.625; 0.84059
0.00020003; 0.83046; 24.75; 0.82632
0.00020003; 0.81879; 25.875; 0.81167
0.00020003; 0.80578; 27; 0.79649
0.00020003; 0.79209; 28.125; 0.78096
0.00020003; 0.7797; 29.25; 0.76533
0.00020003; 0.76797; 30.375; 0.74942
0.00020003; 0.75503; 31.5; 0.7331
0.00020003; 0.74101; 32.625; 0.71655
0.00020003; 0.72778; 33.75; 0.69996
0.00020003; 0.71621; 34.875; 0.68331
0.00020003; 0.70418; 36; 0.66638
0.00020003; 0.68944; 37.125; 0.6492
0.00020003; 0.67487; 38.25; 0.63207
0.00020003; 0.66381; 39.375; 0.61519
0.00020003; 0.65226; 40.5; 0.59813
0.00020003; 0.63618; 41.625; 0.58065
0.00020003; 0.62164; 42.75; 0.56354
0.00020003; 0.61119; 43.875; 0.54691
0.00020003; 0.59847; 45; 0.52987
0.00020003; 0.57537; 46.125; 0.50439
0.00020003; 0.56752; 47.25; 0.49583
0.00020003; 0.55693; 48.375; 0.47993
0.00020003; 0.54536; 49.5; 0.46353
0.00020003; 0.52837; 50.625; 0.44656
0.00020003; 0.5155; 51.75; 0.4314
0.00020003; 0.50131; 52.875; 0.41514
0.00020003; 0.48826; 54; 0.39957
0.00020003; 0.47844; 55.125; 0.38528
0.00020003; 0.46133; 56.25; 0.36938
0.00020003; 0.44545; 57.375; 0.35435
0.00020003; 0.43631; 58.5; 0.34138
0.00020003; 0.4216; 59.625; 0.32684
0.00020003; 0.40661; 60.75; 0.31229
0.00020003; 0.39664; 61.875; 0.29993
0.00020003; 0.38173; 63; 0.28657
0.00020003; 0.36575; 64.125; 0.27313
0.00020003; 0.35499; 65.25; 0.26128
0.00020003; 0.34434; 66.375; 0.24997
0.00020003; 0.32886; 67.5; 0.23777
0.00020003; 0.31368; 68.625; 0.22571
0.00020003; 0.30343; 69.75; 0.2154
0.00020003; 0.29235; 70.875; 0.20543
0.00020003; 0.27754; 72; 0.19452
0.00020003; 0.26416; 73.125; 0.18387
0.00020003; 0.25517; 74.25; 0.17525
0.00020003; 0.24322; 75.375; 0.16636
0.00020003; 0.22912; 76.5; 0.1565
0.00020003; 0.22014; 77.625; 0.14874
0.00020003; 0.20948; 78.75; 0.1406
0.00020003; 0.19809; 79.875; 0.1322
0.00020003; 0.18963; 81; 0.12521
0.00020003; 0.17916; 82.125; 0.11785
0.00020003; 0.169; 83.25; 0.11043
0.00020003; 0.1621; 84.375; 0.10434
0.00020003; 0.15343; 85.5; 0.098172
0.00020003; 0.14527; 86.625; 0.092128
0.00020003; 0.1373; 87.75; 0.086248
0.00020003; 0.12934; 88.875; 0.080544
